iter	Passed	Remaining
1524	18251	5684
1525	18265	5673
1526	18279	5662
1527	18287	5649
1528	18294	5635
1529	18300	5621
1530	18307	5608
1531	18314	5594
1532	18320	5581
1533	18327	5567
1534	18333	5553
1535	18340	5540
1536	18348	5527
1537	18362	5515
1538	18376	5504
1539	18391	5493
1540	18406	5482
1541	18421	5471
1542	18435	5460
1543	18443	5447
1544	18456	5435
1545	18464	5422
1546	18471	5409
1547	18479	5395
1548	18489	5383
1549	18503	5372
1550	18518	5361
1551	18534	5350
1552	18543	5337
1553	18553	5324
1554	18567	5313
1555	18581	5302
1556	18595	5290
1557	18610	5279
1558	18625	5268
1559	18640	5257
1560	18648	5244
1561	18662	5233
1562	18676	5221
1563	18690	5210
1564	18705	5199
1565	18719	5187
1566	18728	5175
1567	18742	5163
1568	18750	5150
1569	18758	5137
1570	18766	5124
1571	18775	5111
1572	18789	5100
1573	18803	5089
1574	18818	5077
1575	18829	5065
1576	18837	5052
1577	18844	5039
1578	18854	5027
1579	18868	5015
1580	18883	5004
1581	18896	4992
1582	18910	4981
1583	18924	4970
1584	18934	4957
1585	18944	4945
1586	18952	4932
1587	18960	4919
1588	18974	4907
1589	18988	4896
1590	18998	4883
1591	19011	4872
1592	19026	4861
1593	19041	4849
1594	19054	4838
1595	19069	4827
1596	19082	4815
1597	19093	4803
1598	19101	4790
1599	19107	4776
1600	19114	4763
1601	19121	4750
1602	19130	4737
1603	19138	4724
1604	19145	4711
1605	19153	4698
1606	19160	4685
1607	19167	4672
1608	19181	4661
1609	19196	4650
1610	19211	4638
1611	19223	4626
1612	19233	4614
1613	19244	4602
1614	19257	4590
1615	19272	4579
1616	19286	4568
1617	19296	4555
1618	19310	4544
1619	19324	4532
1620	19338	4521
1621	19348	4508
1622	19356	4496
1623	19370	4484
1624	19385	4473
1625	19400	4462
1626	19412	4450
1627	19421	4437
1628	19429	4424
1629	19436	4411
1630	19444	4399
1631	19452	4386
1632	19461	4373
1633	19469	4361
1634	19476	4348
1635	19484	4335
1636	19490	4321
1637	19497	4308
1638	19505	4296
1639	19515	4283
1640	19523	4271
1641	19531	4258
1642	19538	4245
1643	19545	4232
1644	19551	4219
1645	19558	4206
1646	19565	4193
1647	19572	4180
1648	19579	4167
1649	19593	4156
1650	19608	4145
1651	19623	4133
1652	19632	4121
1653	19643	4109
1654	19652	4096
1655	19660	4083
1656	19673	4072
1657	19687	4060
1658	19700	4049
1659	19708	4036
1660	19721	4024
1661	19735	4013
1662	19747	4001
1663	19761	3990
1664	19769	3977
1665	19780	3965
1666	19795	3954
1667	19809	3942
